n_neighbors,num_dims,mean,std
1.0,2.0,0.7760526315789474,0.018277637214931922
3.0,2.0,0.7818421052631579,0.017062700081523514
5.0,2.0,0.7873684210526317,0.019597755538853536
1.0,3.0,0.8436842105263157,0.011765836266372696
3.0,3.0,0.8465789473684211,0.012609630053379943
5.0,3.0,0.8553947368421053,0.013880799429347878
1.0,5.0,0.8702631578947368,0.011090161845108144
3.0,5.0,0.8719736842105263,0.011288982936211401
5.0,5.0,0.8785526315789474,0.0086091251594503
1.0,-1.0,0.8796052631578947,0.009044557292675998
3.0,-1.0,0.8810526315789474,0.00969050138922208
5.0,-1.0,0.8848684210526316,0.010431314723936087
